items,weight,quantity,price
butter, 200, 1,3.56
sugar, 200, 1,2.61
egg, 0, 8,4.88
lemon, 0, 1,2.65
self-raising flour, 200, 1,1.16
chicken, 900, 1,0.85
strawberry, 300, 1,3.39
potatoes, 500, 1,3.5
garlic cloves, 0, 3,4.8
bacon, 200, 1,3.21
pasta, 200, 1,2.19
cheese, 40, 1,4.34
carrot, 100, 1,4.2
mince, 500, 1,2.88
onion, 0, 1,1.21
milk, 500, 1,4.28
jam, 150, 1,1.5
icing sugar, 100, 1,3.06
oil, 50, 1,1.01
chopped tomatoes, 200, 1,3.44
plain flour, 200, 1,0.71
lasagne sheets, 300, 1,0.86
sweetcorn, 100, 1,3.52
peas, 100, 1,4.62
tuna, 150, 1,4.31
lamb mince, 500, 1,4.2
beef stock, 400, 1,2.31
red chillies, 0, 2,1.61
kidney beans, 400, 1,3.66
lime, 0, 1,1.58
red pepper, 0, 1,4.08
white flour, 200, 1,2.69
mozzarella, 100, 1,0.8
yeast, 50, 1,1.45
water, 200, 1,1.8
passata, 100, 1,1.15
pepperoni, 200, 1,3.24
yogurt, 100, 1,1.3
root ginger, 20, 1,3.68
honey, 25, 1,5.0
rice, 200, 1,0.73
