items,weight,quantity,price
butter, 200, 1,3.51
sugar, 200, 1,1.02
egg, 0, 8,4.23
lemon, 0, 1,2.57
self-raising flour, 200, 1,0.95
chicken, 900, 1,3.6
strawberry, 300, 1,4.73
potatoes, 500, 1,3.98
garlic cloves, 0, 3,3.5
bacon, 200, 1,3.28
pasta, 200, 1,3.93
cheese, 40, 1,3.41
carrot, 100, 1,1.86
mince, 500, 1,3.58
onion, 0, 1,2.79
milk, 500, 1,0.53
jam, 150, 1,0.82
icing sugar, 100, 1,4.26
oil, 50, 1,4.39
chopped tomatoes, 200, 1,2.15
plain flour, 200, 1,1.08
lasagne sheets, 300, 1,0.54
sweetcorn, 100, 1,4.23
peas, 100, 1,4.51
tuna, 150, 1,4.34
lamb mince, 500, 1,3.27
beef stock, 400, 1,4.93
red chillies, 0, 2,4.63
kidney beans, 400, 1,4.53
lime, 0, 1,0.69
red pepper, 0, 1,2.42
white flour, 200, 1,0.76
mozzarella, 100, 1,3.31
yeast, 50, 1,2.04
water, 200, 1,2.53
passata, 100, 1,1.07
pepperoni, 200, 1,1.49
yogurt, 100, 1,1.1
root ginger, 20, 1,2.95
honey, 25, 1,4.62
rice, 200, 1,3.53
