items,weight,quantity,price
butter, 200, 1,4.16
sugar, 200, 1,1.27
egg, 0, 8,2.82
lemon, 0, 1,2.4
self-raising flour, 200, 1,1.42
chicken, 900, 1,1.02
strawberry, 300, 1,1.78
potatoes, 500, 1,1.32
garlic cloves, 0, 3,0.63
bacon, 200, 1,2.85
pasta, 200, 1,3.64
cheese, 40, 1,3.88
carrot, 100, 1,1.72
mince, 500, 1,4.08
onion, 0, 1,3.85
milk, 500, 1,4.14
jam, 150, 1,4.15
icing sugar, 100, 1,2.43
oil, 50, 1,2.44
chopped tomatoes, 200, 1,1.56
plain flour, 200, 1,3.69
lasagne sheets, 300, 1,3.68
sweetcorn, 100, 1,3.21
peas, 100, 1,0.55
tuna, 150, 1,1.37
lamb mince, 500, 1,4.77
beef stock, 400, 1,2.07
red chillies, 0, 2,3.39
kidney beans, 400, 1,3.47
lime, 0, 1,3.06
red pepper, 0, 1,1.75
white flour, 200, 1,3.28
mozzarella, 100, 1,4.9
yeast, 50, 1,2.96
water, 200, 1,1.61
passata, 100, 1,2.12
pepperoni, 200, 1,2.76
yogurt, 100, 1,1.48
root ginger, 20, 1,3.59
honey, 25, 1,3.79
rice, 200, 1,0.72
