items,weight,quantity,price
butter, 200, 1,1.64
sugar, 200, 1,0.53
egg, 0, 8,3.52
lemon, 0, 1,4.36
self-raising flour, 200, 1,3.61
chicken, 900, 1,3.11
strawberry, 300, 1,4.27
potatoes, 500, 1,3.91
garlic cloves, 0, 3,1.93
bacon, 200, 1,3.21
pasta, 200, 1,2.06
cheese, 40, 1,2.62
carrot, 100, 1,3.38
mince, 500, 1,2.3
onion, 0, 1,2.51
milk, 500, 1,4.27
jam, 150, 1,1.56
icing sugar, 100, 1,2.75
oil, 50, 1,4.72
chopped tomatoes, 200, 1,4.38
plain flour, 200, 1,3.17
lasagne sheets, 300, 1,2.49
sweetcorn, 100, 1,3.8
peas, 100, 1,1.38
tuna, 150, 1,0.87
lamb mince, 500, 1,3.1
beef stock, 400, 1,4.11
red chillies, 0, 2,4.97
kidney beans, 400, 1,2.7
lime, 0, 1,2.16
red pepper, 0, 1,2.11
white flour, 200, 1,3.66
mozzarella, 100, 1,4.0
yeast, 50, 1,1.73
water, 200, 1,2.95
passata, 100, 1,2.17
pepperoni, 200, 1,1.96
yogurt, 100, 1,3.59
root ginger, 20, 1,0.59
honey, 25, 1,1.22
rice, 200, 1,2.0
