items,weight,quantity,price
butter, 200, 1,3.76
sugar, 200, 1,4.96
egg, 0, 8,4.24
lemon, 0, 1,2.89
self-raising flour, 200, 1,2.99
chicken, 900, 1,4.58
strawberry, 300, 1,3.51
potatoes, 500, 1,2.99
garlic cloves, 0, 3,3.0
bacon, 200, 1,2.07
pasta, 200, 1,4.11
cheese, 40, 1,0.52
carrot, 100, 1,1.3
mince, 500, 1,2.87
onion, 0, 1,1.22
milk, 500, 1,4.46
jam, 150, 1,2.85
icing sugar, 100, 1,1.41
oil, 50, 1,4.17
chopped tomatoes, 200, 1,4.19
plain flour, 200, 1,0.79
lasagne sheets, 300, 1,1.56
sweetcorn, 100, 1,3.9
peas, 100, 1,2.37
tuna, 150, 1,1.23
lamb mince, 500, 1,2.02
beef stock, 400, 1,3.53
red chillies, 0, 2,0.62
kidney beans, 400, 1,3.29
lime, 0, 1,3.81
red pepper, 0, 1,3.41
white flour, 200, 1,1.29
mozzarella, 100, 1,2.43
yeast, 50, 1,0.78
water, 200, 1,1.84
passata, 100, 1,2.44
pepperoni, 200, 1,4.77
yogurt, 100, 1,1.69
root ginger, 20, 1,4.18
honey, 25, 1,1.76
rice, 200, 1,2.79
