items,weight,quantity,price
butter, 200, 1,2.27
sugar, 200, 1,3.32
egg, 0, 8,3.41
lemon, 0, 1,4.38
self-raising flour, 200, 1,3.37
chicken, 900, 1,1.98
strawberry, 300, 1,3.03
potatoes, 500, 1,4.55
garlic cloves, 0, 3,1.46
bacon, 200, 1,3.26
pasta, 200, 1,4.87
cheese, 40, 1,1.38
carrot, 100, 1,2.43
mince, 500, 1,3.25
onion, 0, 1,2.71
milk, 500, 1,1.58
jam, 150, 1,0.66
icing sugar, 100, 1,1.3
oil, 50, 1,1.0
chopped tomatoes, 200, 1,2.97
plain flour, 200, 1,3.49
lasagne sheets, 300, 1,1.9
sweetcorn, 100, 1,0.99
peas, 100, 1,3.99
tuna, 150, 1,1.14
lamb mince, 500, 1,3.64
beef stock, 400, 1,4.9
red chillies, 0, 2,2.67
kidney beans, 400, 1,3.09
lime, 0, 1,4.81
red pepper, 0, 1,1.59
white flour, 200, 1,2.02
mozzarella, 100, 1,0.63
yeast, 50, 1,1.95
water, 200, 1,3.26
passata, 100, 1,0.99
pepperoni, 200, 1,3.61
yogurt, 100, 1,3.09
root ginger, 20, 1,3.2
honey, 25, 1,4.25
rice, 200, 1,0.64
