items,weight,quantity,price
butter, 200, 1,4.25
sugar, 200, 1,2.55
egg, 0, 8,4.43
lemon, 0, 1,3.84
self-raising flour, 200, 1,1.67
chicken, 900, 1,1.96
strawberry, 300, 1,3.41
potatoes, 500, 1,3.39
garlic cloves, 0, 3,0.95
bacon, 200, 1,2.75
pasta, 200, 1,4.71
cheese, 40, 1,0.71
carrot, 100, 1,4.71
mince, 500, 1,1.88
onion, 0, 1,2.61
milk, 500, 1,2.59
jam, 150, 1,1.76
icing sugar, 100, 1,1.95
oil, 50, 1,2.27
chopped tomatoes, 200, 1,1.13
plain flour, 200, 1,1.99
lasagne sheets, 300, 1,0.98
sweetcorn, 100, 1,4.13
peas, 100, 1,3.73
tuna, 150, 1,2.37
lamb mince, 500, 1,2.14
beef stock, 400, 1,0.6
red chillies, 0, 2,0.68
kidney beans, 400, 1,3.42
lime, 0, 1,4.49
red pepper, 0, 1,0.74
white flour, 200, 1,4.65
mozzarella, 100, 1,2.04
yeast, 50, 1,1.81
water, 200, 1,1.55
passata, 100, 1,2.69
pepperoni, 200, 1,2.1
yogurt, 100, 1,2.1
root ginger, 20, 1,3.28
honey, 25, 1,3.24
rice, 200, 1,0.56
